Time_1,Time_2,Time_3,Time_4,Time_5,Time_6
5.37801,5.41863,5.40952,5.40357,5.34415,5.3657
8.25113,8.28899,10.424,9.12855,9.1561,19.4574
16929.5,15822.2,15786.8,16751.4,19889.2,20679
1489.49,1377.86,1319.92,1252.13,1735.36,1597.29
3.93346,3.94227,3.94248,3.98351,3.93654,3.97047
8.30697,9.07859,6.39935,5.9418,5.81969,5.61609
11.4804,7.80224,5.61298,5.70231,4.65628,5.60708
12.3243,10.0421,6.21321,9.58278,13.912,39.7373
8.47164,4.68878,5.08531,4.68509,4.63673,5.32297
5.44491,5.41277,5.40645,5.44175,5.34899,5.36804
5.08698,5.95622,8.35372,5.96785,5.84721,5.9119
7355.11,10572.6,9298,11270.4,9555.61,11786.7
55.4293,116.481,159.792,203.666,128.084,116.726
5.09128,5.07802,5.0841,5.11304,4.99557,5.02257
9.8033,5.08726,6.76447,4.99995,4.92656,4.99568
10.3746,8.92714,13.8869,8.07189,7.89874,11.9867
14125,15526.8,16679.3,12637.7,15481.7,10910
24372,22767.9,22075.4,24308.3,25224.4,28372.7
5.99342,5.39557,5.19672,5.45509,12.9962,7.49527
3.44322,3.30355,3.30487,3.32356,3.2782,3.31094
6.60458,11.2143,8.00146,7.5699,7.22105,7.46743
4.68569,6.99119,4.69885,4.71743,4.66438,4.66894
7781.87,9499.91,11339.8,12028.3,9544.05,15156.1
37.7906,43.2823,39.1503,31.2271,51.8749,78.1823
8732.19,8871.86,9130,10881.7,8941.67,11692.2
4.83179,4.96628,4.9716,4.98815,4.93646,7.14497
6.09057,5.50944,5.64146,5.31115,5.25503,5.27104
29122.6,27557.2,30937.5,29819.7,28994.7,30865.1
17874.9,15936.2,17394.7,14832.5,15714.8,16500
21959,21907.3,22250.7,23752.8,20449.4,22647.1
45483.7,50446.1,48001,48112.5,44613.5,49309.8
15273.1,15321.9,17030.4,15542.8,16333,17880.9
15800.6,14457.7,16259.6,15056.7,15634.3,17271.1
17577.4,16027.1,19166.2,17425.1,18746.1,20468.1
46762.8,45670.2,47222,45062.7,45499.7,45173.8
60679.9,58965.5,62289,60219.9,57487.1,63439
24.6584,24.5967,23.3119,24.7171,24.4612,31.3383
18573.5,19489.8,19762.2,19860.8,20562.9,22543.2
